ais,name_text,category_text,price_text,price_num,flavours_text,flavours_each_approved,flavours_count_approx,vgpg_text,nicotine_size_num,nicotine_num,nicotine_min,nicotine_max,nicotine_approved,size_min,size_max,disposable_keyword,url,buttons_text,details_text
https://www.vapo.co.nz,Tobacco | VAPO E-Liquid,VAPO,$20.00,20,,,,35/65,,,,,TRUE,,,FALSE,https://www.vapo.co.nz/Tobacco | VAPO E-Liquid,"30ml 100ml 
 18mg/mL 12mg/mL 9mg/mL 6mg/mL 3mg/mL 0mg/mL","Tobacco is smooth and subtle. This go-to fan favourite is a reliable classic. Whether you're a seasoned pro or a newcomer to the vaping world, our Tobacco e-liquid offers a refined taste that's sure to satisfy. 

VAPO E-Liquid is formulated to the highest standards by Myriad Pharmaceuticals in an ISO7 clean room right here in New Zealand. Our e-liquid is independently tested to ensure no traces of diacetyl or acetyl propionyl are detected in our flavours.

VAPO E-Liquid contains Propylene Glycol, Glycerin, Nicotine (excluding 0mg/mL), and select food-grade flavourings.

Recycle your vape juice bottles here with VapeCycle, New Zealand's free vape recycling programme!
New Zealand-made
PG/VG Ratio

0mg/mL 25:75
3mg/mL 25:75
6mg/mL 30:70
9mg/mL 30:70
12mg/mL 35/65
18mg/mL 40:60"
https://www.vapo.co.nz,Cherry | Hola Cola Nic Salt E-Liquid,Hola Cola,$29.99,29.99,,,,,,,,,TRUE,,,FALSE,https://www.vapo.co.nz/Cherry | Hola Cola Nic Salt E-Liquid,"30ml 
 20mg/mL 10mg/mL","A cheeky mix of cherry with an iconic cola flavouring that will make you say HOLA each time you exhale!



Say goodbye to your old nic salts, and hola to cola! Hola Cola E-Liquid features lower nicotine level salts, ideal for those more powerful vaping devices. Hola Cola provides a smooth vaping experience, full of flavour!

E-liquid contains propylene glycol, glycerin, nicotine salts, and selected food-grade flavourings. It is formulated with the highest safety standards.



Recycle your vape juice bottles here with VapeCycle, New Zealand's free vape recycling programme!
10mg/mL 40:60 
20mg/mL 50:50"
